Attendance,Study_Hours,Previous_Marks,Result
89,2.0,56,Pass
46,5.5,31,Pass
45,5.0,35,Fail
91,3.5,55,Pass
89,0.5,41,Fail
70,5.5,84,Pass
88,4.5,78,Pass
41,5.0,63,Pass
61,1.0,55,Fail
83,4.5,83,Pass
52,5.0,37,Pass
84,6.0,87,Pass
68,3.5,28,Pass
84,3.5,90,Pass
65,3.0,35,Pass
59,4.5,82,Pass
49,5.5,26,Fail
49,4.0,82,Fail
84,2.0,66,Pass
43,0.5,26,Fail
41,4.0,79,Pass
46,5.5,32,Pass
46,1.0,63,Fail
89,2.5,48,Pass
61,5.5,78,Pass
99,3.5,85,Pass
44,1.5,57,Fail
77,2.5,78,Pass
64,2.5,89,Pass
61,1.0,73,Fail
92,4.0,48,Pass
98,4.0,57,Pass
92,4.0,41,Pass
47,4.0,57,Pass
49,0.5,42,Fail
78,1.5,82,Pass
54,1.5,68,Fail
83,1.0,69,Pass
72,4.5,33,Pass
71,1.0,25,Fail
89,4.0,80,Pass
81,1.5,63,Fail
37,1.0,90,Fail
38,1.5,63,Fail
74,3.5,40,Fail
67,4.0,74,Pass
52,5.0,74,Pass
62,1.0,30,Fail
84,4.0,74,Pass
89,5.0,40,Pass
71,2.0,43,Fail
60,1.0,27,Fail
53,1.5,69,Fail
69,1.0,76,Pass
55,5.5,41,Pass
72,2.5,80,Pass
79,3.5,78,Pass
39,4.5,54,Pass
35,2.5,30,Fail
49,4.0,45,Fail
93,1.0,37,Fail
77,3.0,92,Pass
46,1.0,82,Fail
93,2.0,30,Pass
66,2.0,61,Fail
66,4.5,44,Pass
96,4.0,27,Pass
39,4.5,48,Pass
49,1.0,34,Fail
73,6.0,41,Pass
48,1.0,48,Fail
79,5.0,54,Pass
49,4.5,58,Pass
41,4.0,61,Fail
48,3.0,51,Pass
62,4.5,60,Pass
46,4.5,54,Fail
44,1.5,93,Pass
91,5.0,30,Pass
56,1.0,66,Fail
58,3.5,39,Pass
39,4.0,51,Fail
58,5.0,63,Pass
52,3.0,78,Fail
75,2.0,93,Pass
48,3.0,60,Fail
93,2.0,43,Fail
95,3.5,80,Pass
41,3.0,41,Fail
42,5.0,61,Pass
42,2.0,84,Fail
75,1.5,53,Fail
43,3.0,64,Fail
90,1.0,33,Fail
84,2.0,29,Pass
88,2.5,94,Pass
69,3.0,38,Fail
100,2.0,48,Pass
38,3.5,60,Fail
61,5.5,51,Pass
56,3.5,32,Fail
97,2.0,39,Fail
72,1.0,60,Fail
87,1.5,56,Pass
46,3.5,81,Pass
99,4.5,47,Pass
67,1.0,91,Pass
67,1.5,45,Fail
98,2.5,48,Pass
60,2.5,91,Pass
61,6.0,84,Pass
73,1.5,47,Pass
43,1.0,53,Fail
56,2.5,84,Pass
48,1.0,31,Fail
42,1.0,46,Fail
91,2.5,62,Pass
73,2.0,83,Pass
58,1.0,65,Fail
62,4.0,59,Pass
63,3.5,92,Pass
76,1.0,33,Fail
95,5.0,80,Pass
96,2.0,34,Pass
60,6.0,76,Pass
56,5.5,63,Pass
64,3.0,44,Fail
72,2.0,63,Pass
65,5.0,87,Pass
78,2.5,58,Pass
71,1.5,25,Fail
56,3.5,29,Fail
57,3.0,69,Pass
60,5.0,72,Pass
41,4.5,53,Pass
46,5.5,42,Fail
82,4.5,75,Pass
60,4.0,46,Pass
49,3.5,30,Fail
72,6.0,54,Pass
84,6.0,63,Pass
52,5.0,93,Pass
89,5.0,66,Pass
95,3.5,40,Pass
74,2.0,83,Pass
78,5.5,45,Pass
38,0.5,92,Fail
96,2.0,48,Pass
61,2.5,89,Pass
95,3.5,87,Pass
73,3.5,85,Pass
35,1.5,28,Fail
38,1.0,84,Fail
79,1.5,75,Pass
72,2.5,48,Fail
37,0.5,59,Fail
83,4.5,70,Pass
90,2.0,91,Pass
67,2.5,80,Fail
65,2.5,55,Pass
35,3.5,70,Fail
86,5.0,38,Pass
56,1.5,55,Fail
92,2.5,80,Pass
59,4.5,67,Pass
72,0.5,80,Fail
53,5.0,61,Pass
45,6.0,52,Pass
85,4.0,77,Pass
67,6.0,32,Pass
70,3.0,94,Pass
98,3.0,91,Pass
98,1.0,87,Pass
91,0.5,87,Pass
47,2.0,61,Fail
74,3.0,60,Pass
92,3.5,82,Pass
59,1.5,45,Fail
42,4.0,84,Pass
88,1.5,39,Fail
66,2.5,87,Pass
72,1.5,63,Pass
99,4.5,84,Pass
74,3.5,60,Pass
63,4.5,68,Pass
59,1.0,90,Fail
62,3.0,54,Fail
43,6.0,40,Pass
87,1.0,31,Fail
89,3.0,66,Pass
53,0.5,68,Fail
55,1.5,68,Fail
92,3.0,28,Pass
37,1.5,27,Fail
69,3.5,88,Pass
65,5.5,74,Pass
80,1.5,33,Fail
46,1.0,30,Fail
78,5.0,36,Pass
59,3.0,81,Pass
75,5.5,76,Pass
38,2.0,70,Fail
65,4.0,70,Pass
69,5.5,85,Pass
49,1.5,48,Fail
44,5.0,48,Pass
47,4.0,55,Pass
57,5.0,94,Pass
41,1.5,64,Fail
97,3.0,63,Pass
61,1.0,82,Fail
88,6.0,37,Pass
98,1.0,53,Pass
40,1.0,70,Fail
77,5.5,94,Pass
92,2.0,36,Pass
76,4.0,57,Pass
63,2.0,88,Pass
63,4.0,76,Pass
37,1.5,68,Fail
70,3.0,43,Fail
100,3.5,38,Pass
97,2.5,51,Pass
38,2.0,43,Fail
81,1.5,82,Pass
55,4.5,75,Pass
94,1.5,83,Pass
38,2.0,37,Fail
96,2.5,47,Pass
89,3.0,79,Pass
43,4.5,36,Fail
39,3.0,35,Fail
89,5.5,52,Pass
45,4.0,38,Pass
70,5.0,31,Pass
95,4.5,47,Pass
72,1.5,86,Pass
61,6.0,29,Pass
64,5.0,65,Pass
39,3.5,64,Fail
98,1.5,62,Pass
55,1.5,60,Pass
47,4.0,26,Pass
54,3.0,28,Fail
98,4.0,61,Pass
41,2.5,93,Pass
91,3.5,54,Pass
81,1.5,58,Pass
89,1.5,94,Pass
98,1.0,80,Pass
90,5.0,79,Pass
96,3.5,60,Pass
43,5.5,88,Pass
87,4.5,66,Pass
70,4.5,71,Pass
70,3.5,80,Pass
93,5.0,53,Pass
98,5.5,92,Pass
81,4.5,94,Pass
66,1.0,66,Pass
65,4.0,41,Pass
60,1.0,79,Fail
59,1.0,48,Fail
60,4.5,65,Pass
41,5.0,31,Pass
40,1.5,82,Fail
86,1.0,92,Pass
64,5.5,32,Fail
95,1.0,76,Pass
75,0.5,85,Pass
37,4.5,33,Fail
45,5.0,42,Pass
48,3.5,52,Fail
98,3.5,84,Pass
49,2.5,60,Fail
69,2.0,35,Fail
96,4.5,43,Pass
99,5.0,58,Pass
50,2.5,28,Fail
38,2.0,69,Fail
45,2.0,27,Fail
39,1.0,80,Fail
48,2.0,76,Pass
72,0.5,86,Pass
94,5.0,36,Pass
70,2.0,67,Pass
76,4.5,80,Pass
48,3.5,61,Pass
87,5.0,34,Pass
75,6.0,32,Pass
91,2.5,67,Pass
97,1.0,60,Pass
58,4.5,90,Pass
41,0.5,83,Fail
50,1.5,76,Fail
63,1.0,94,Fail
96,5.5,74,Pass
60,0.5,31,Fail
85,3.0,30,Pass
70,3.0,82,Pass
47,4.0,50,Pass
56,2.0,90,Pass
77,5.5,33,Pass
79,4.5,39,Pass
63,3.0,79,Pass
50,2.5,84,Pass
82,5.0,86,Pass
46,4.5,32,Pass
96,2.5,52,Pass
47,2.5,70,Fail
42,0.5,89,Fail
67,1.0,42,Fail
69,1.0,67,Fail
68,0.5,35,Fail
63,1.5,77,Pass
100,5.0,34,Pass
67,5.0,95,Pass
66,5.0,31,Pass
62,4.0,73,Pass
39,4.0,79,Pass
74,1.0,43,Pass
50,4.5,43,Pass
76,2.0,67,Pass
38,3.5,69,Pass
99,6.0,75,Pass
65,5.5,66,Pass
93,2.0,37,Fail
66,4.5,90,Pass
39,1.0,37,Fail
88,0.5,65,Pass
77,0.5,89,Pass
86,1.5,89,Pass
63,4.5,37,Fail
76,2.5,42,Fail
91,0.5,67,Pass
76,6.0,49,Pass
58,3.5,76,Pass
78,2.5,62,Pass
79,3.5,44,Pass
97,3.5,54,Pass
59,3.0,73,Pass
63,4.0,80,Pass
88,5.5,51,Pass
68,2.0,32,Pass
83,3.0,50,Pass
65,0.5,69,Pass
49,5.0,78,Pass
83,2.0,87,Pass
44,2.0,92,Pass
48,6.0,62,Pass
76,3.5,87,Pass
84,1.0,43,Pass
93,2.0,64,Pass
53,2.5,63,Fail
42,6.0,79,Pass
97,3.0,79,Pass
45,2.0,45,Fail
48,3.5,87,Pass
54,2.5,87,Pass
69,1.0,91,Pass
92,5.0,57,Pass
84,0.5,94,Pass
81,5.5,80,Pass
46,5.0,71,Pass
58,1.0,55,Fail
66,4.5,84,Pass
45,4.5,78,Pass
53,4.0,66,Pass
55,3.5,95,Pass
43,1.0,42,Fail
71,1.0,70,Fail
81,4.5,47,Pass
40,1.0,57,Fail
66,2.0,49,Pass
86,3.0,48,Pass
84,1.5,51,Fail
88,5.0,29,Pass
64,5.0,28,Pass
88,5.0,76,Pass
51,1.0,47,Fail
58,3.0,26,Fail
46,5.0,31,Fail
65,2.5,39,Fail
60,4.5,28,Fail
51,3.5,91,Pass
84,2.5,65,Pass
55,2.0,53,Fail
53,4.0,62,Pass
44,1.0,33,Fail
64,5.0,74,Pass
55,3.5,93,Pass
59,1.0,34,Fail
50,4.5,36,Fail
85,3.0,69,Pass
95,1.5,36,Pass
67,6.0,34,Pass
77,4.5,72,Pass
91,4.0,68,Pass
100,5.0,40,Pass
75,3.5,83,Pass
93,3.0,32,Pass
94,1.5,48,Pass
86,1.5,77,Pass
65,3.0,68,Fail
40,3.0,67,Pass
36,4.5,73,Pass
66,3.0,70,Pass
67,4.0,86,Pass
61,5.0,65,Pass
72,6.0,53,Pass
71,2.5,79,Pass
89,5.5,43,Pass
42,5.0,78,Pass
50,1.0,45,Fail
87,2.5,59,Pass
90,1.5,77,Pass
100,4.0,69,Pass
92,3.5,31,Pass
93,3.0,56,Pass
55,4.5,82,Pass
61,2.5,95,Pass
52,2.5,58,Fail
74,5.5,31,Pass
96,6.0,51,Pass
57,5.0,59,Pass
71,1.5,30,Fail
54,1.0,85,Fail
46,1.5,63,Fail
48,3.0,54,Fail
39,2.0,53,Fail
97,5.5,27,Pass
61,4.0,61,Pass
89,3.0,58,Pass
79,2.0,49,Fail
47,2.5,71,Fail
46,3.0,54,Fail
88,4.5,65,Pass
52,1.0,87,Pass
94,5.0,50,Pass
44,1.0,53,Fail
79,2.0,86,Pass
88,6.0,50,Pass
50,1.5,56,Fail
53,1.0,81,Fail
98,4.0,66,Pass
52,2.5,90,Pass
63,1.0,58,Fail
63,0.5,59,Fail
51,1.0,28,Fail
85,3.5,39,Pass
85,2.0,63,Pass
60,5.0,38,Fail
89,5.0,57,Pass
49,1.5,45,Fail
35,2.5,26,Fail
72,1.5,58,Fail
100,2.0,70,Pass
38,2.0,49,Fail
49,5.0,79,Pass
69,2.5,35,Fail
88,3.0,31,Pass
41,4.0,90,Pass
61,5.0,90,Pass
84,2.0,53,Fail
59,1.5,54,Fail
47,6.0,85,Pass
48,2.5,62,Fail
62,4.0,33,Fail
66,4.0,33,Fail
91,3.5,34,Pass
77,2.0,80,Pass
80,1.5,67,Fail
99,3.0,46,Pass
62,3.5,36,Fail
61,5.0,34,Pass
95,4.5,77,Pass
51,5.5,87,Pass
82,6.0,62,Pass
84,4.5,79,Pass
41,1.0,45,Fail
65,2.5,66,Pass
48,4.0,56,Pass
47,3.5,31,Fail
65,1.5,59,Pass
54,3.5,84,Pass
87,2.5,29,Fail
94,2.5,58,Fail
87,5.0,86,Pass
52,3.0,80,Pass
53,3.5,60,Pass
52,3.5,37,Fail
44,3.5,84,Pass
96,1.5,36,Pass
61,4.0,44,Pass
50,2.5,34,Fail
90,4.0,57,Pass
61,1.5,69,Pass
37,6.0,83,Pass
46,4.5,57,Pass
77,3.0,93,Pass
86,2.0,67,Pass
49,2.5,67,Fail
95,4.5,37,Pass
90,4.0,38,Pass
90,4.5,65,Pass
50,5.5,75,Pass
38,3.0,39,Fail
91,4.0,59,Pass
55,3.0,50,Fail
75,4.0,56,Pass
84,3.0,41,Pass
43,5.0,35,Fail
86,0.5,47,Fail
96,1.5,86,Pass
82,2.0,81,Pass
64,5.5,32,Fail
92,3.5,31,Pass
69,2.5,60,Fail
83,2.5,44,Pass
88,3.0,83,Pass
84,5.5,59,Pass
54,6.0,85,Pass
43,5.0,33,Pass
50,5.0,93,Pass
68,1.5,79,Fail
68,2.0,76,Pass
73,4.0,91,Pass
61,4.0,58,Pass
86,1.5,35,Fail
94,4.5,60,Pass
51,1.5,82,Fail
83,2.0,85,Pass
79,2.0,59,Pass
69,5.0,76,Pass
47,4.5,42,Fail
87,3.5,41,Pass
97,5.0,66,Pass
82,5.0,55,Pass
95,2.5,36,Pass
99,5.0,78,Pass
58,1.5,62,Fail
76,3.5,61,Pass
66,1.0,38,Fail
99,3.0,42,Pass
41,3.5,73,Fail
62,1.0,85,Fail
92,3.0,37,Pass
53,4.0,82,Pass
86,4.0,80,Pass
60,1.0,82,Pass
99,1.0,66,Pass
92,2.5,50,Pass
55,5.0,79,Pass
85,5.5,59,Pass
57,2.0,41,Fail
74,4.5,53,Pass
78,3.5,57,Pass
89,6.0,60,Pass
37,1.0,88,Fail
49,3.5,54,Fail
81,4.0,45,Pass
72,2.0,92,Pass
67,1.0,42,Fail
39,1.0,26,Fail
58,3.0,84,Pass
91,4.5,92,Pass
37,4.5,73,Fail
61,1.5,54,Fail
96,5.0,63,Pass
38,2.5,83,Fail
84,6.0,87,Pass
52,1.0,32,Fail
91,5.0,86,Pass
83,5.5,68,Pass
93,5.0,27,Pass
49,5.0,33,Fail
70,2.5,28,Pass
86,4.5,91,Pass
51,3.5,55,Pass
50,3.0,75,Pass
37,6.0,25,Pass
97,2.0,81,Pass
81,3.0,59,Pass
76,5.5,90,Pass
83,2.0,61,Fail
70,1.5,80,Pass
66,2.0,69,Pass
64,4.5,61,Pass
77,5.0,91,Pass
48,1.0,60,Fail
93,4.0,87,Pass
88,3.5,28,Pass
58,4.0,71,Pass
73,4.0,89,Pass
44,6.0,88,Pass
98,2.5,59,Pass
94,2.0,58,Pass
95,3.5,82,Pass
57,3.0,48,Pass
46,3.0,91,Pass
49,1.0,43,Fail
41,1.5,30,Fail
43,5.5,79,Pass
40,1.0,53,Fail
99,3.5,50,Pass
40,4.5,47,Fail
44,0.5,94,Fail
89,1.5,65,Pass
73,2.5,94,Pass
85,3.5,49,Pass
76,2.5,54,Fail
92,4.0,40,Pass
77,1.5,55,Fail
69,0.5,29,Fail
81,0.5,25,Fail
64,2.5,57,Pass
57,2.5,77,Fail
65,5.5,56,Pass
46,0.5,61,Fail
87,3.5,56,Pass
52,3.5,62,Fail
45,4.5,79,Pass
51,4.0,81,Pass
90,0.5,84,Pass
56,4.0,40,Pass
80,2.5,57,Fail
91,5.0,83,Pass
40,1.5,91,Fail
85,4.5,63,Pass
55,4.0,60,Pass
49,4.0,79,Pass
80,1.5,94,Pass
94,4.0,55,Pass
54,4.5,37,Pass
72,3.0,83,Pass
54,2.5,75,Fail
71,1.5,35,Fail
75,2.0,48,Pass
75,4.5,64,Pass
76,3.0,76,Pass
44,4.5,80,Pass
80,4.5,36,Pass
79,4.0,40,Pass
79,4.0,77,Pass
40,4.0,33,Fail
64,3.5,60,Pass
62,1.5,63,Fail
41,5.0,49,Fail
49,6.0,81,Pass
64,3.0,29,Fail
83,5.5,79,Pass
50,6.0,70,Pass
89,3.0,61,Pass
70,4.5,86,Pass
84,4.0,39,Pass
66,2.0,81,Fail
67,1.0,38,Fail
75,3.0,94,Pass
95,5.0,27,Pass
67,2.5,64,Pass
69,5.0,37,Pass
74,4.0,54,Pass
83,4.5,35,Pass
40,2.0,39,Fail
69,3.0,29,Fail
66,1.5,26,Fail
95,2.0,75,Pass
67,1.0,57,Pass
65,1.0,28,Fail
98,1.5,91,Pass
64,3.5,72,Pass
47,3.0,43,Fail
49,2.0,56,Fail
41,5.0,59,Pass
35,3.5,65,Fail
63,5.5,85,Pass
85,4.0,66,Pass
83,0.5,94,Pass
37,5.5,76,Pass
72,5.0,94,Pass
45,4.0,64,Fail
96,3.5,72,Pass
46,3.0,77,Pass
76,3.0,78,Pass
56,4.5,27,Fail
77,3.5,34,Pass
62,1.5,41,Fail
84,1.0,44,Fail
50,1.0,88,Fail
94,2.0,76,Pass
68,2.5,35,Fail
84,5.5,55,Pass
90,2.0,42,Pass
100,2.5,83,Pass
50,1.5,89,Pass
54,3.5,37,Pass
51,4.0,54,Pass
52,3.5,92,Pass
73,5.5,71,Pass
100,6.0,86,Pass
99,5.0,50,Pass
69,5.0,40,Pass
77,2.5,73,Pass
91,3.5,35,Pass
96,2.5,84,Pass
48,5.0,78,Pass
69,1.5,46,Pass
89,1.5,60,Pass
55,0.5,81,Pass
64,4.0,90,Pass
99,4.5,50,Pass
99,0.5,80,Pass
94,3.5,39,Pass
87,2.5,88,Pass
52,5.0,73,Pass
56,0.5,36,Fail
71,1.0,77,Pass
71,4.0,76,Pass
68,4.0,77,Pass
76,5.0,49,Pass
62,4.0,77,Pass
84,5.5,83,Pass
57,2.0,49,Fail
56,2.5,40,Pass
43,6.0,87,Pass
47,1.0,68,Fail
90,5.0,57,Pass
64,0.5,87,Fail
50,3.0,35,Fail
84,1.5,82,Pass
71,4.0,59,Pass
36,5.0,28,Fail
56,0.5,93,Pass
47,1.5,79,Fail
78,2.5,40,Fail
53,2.0,90,Pass
39,2.5,90,Pass
39,5.5,81,Pass
73,1.0,34,Fail
36,3.0,38,Fail
90,3.0,78,Pass
45,2.0,89,Fail
74,2.0,40,Fail
64,4.5,57,Pass
64,4.0,36,Pass
40,5.0,58,Fail
87,2.5,70,Pass
93,4.0,26,Fail
36,5.5,70,Pass
47,5.0,70,Pass
94,5.5,57,Pass
71,2.0,88,Pass
45,6.0,34,Fail
48,5.0,29,Pass
78,5.0,60,Pass
82,4.0,62,Pass
74,6.0,44,Pass
97,3.0,92,Pass
67,4.5,43,Pass
55,4.5,44,Pass
66,4.5,82,Pass
58,4.5,90,Pass
50,1.5,63,Fail
38,2.5,26,Fail
58,2.5,50,Pass
81,4.5,41,Pass
36,4.5,61,Fail
64,5.0,73,Pass
77,5.0,52,Pass
75,4.0,63,Pass
85,1.5,78,Pass
88,4.0,42,Pass
81,5.5,39,Pass
42,4.0,81,Pass
66,5.5,28,Pass
74,6.0,36,Pass
51,2.5,26,Fail
38,4.5,64,Pass
50,3.5,67,Fail
65,3.0,62,Pass
62,2.0,54,Pass
46,2.0,62,Fail
89,1.5,39,Pass
95,4.0,83,Pass
48,1.5,94,Pass
95,3.0,63,Pass
36,3.5,51,Fail
95,3.0,80,Pass
97,5.0,39,Pass
36,3.0,47,Fail
85,1.0,91,Pass
98,6.0,38,Pass
94,5.0,33,Pass
98,4.0,63,Pass
71,4.5,66,Pass
40,1.0,67,Fail
90,4.5,37,Pass
75,1.5,75,Pass
75,3.0,42,Pass
62,1.5,91,Pass
72,4.5,41,Pass
45,2.0,26,Fail
83,2.0,65,Fail
40,1.0,39,Fail
82,4.5,69,Pass
90,2.0,41,Pass
66,3.5,55,Fail
68,2.5,38,Fail
55,5.0,55,Pass
98,1.5,35,Pass
83,5.5,49,Pass
59,2.5,39,Fail
46,1.0,82,Fail
49,2.0,76,Fail
65,1.0,37,Fail
96,3.0,31,Pass
83,2.0,27,Fail
49,5.5,41,Pass
91,3.5,59,Pass
60,2.0,53,Fail
90,3.0,93,Pass
51,1.5,80,Fail
75,1.5,30,Fail
95,2.0,36,Fail
52,1.0,27,Fail
80,1.5,35,Pass
99,5.5,62,Pass
45,4.0,30,Fail
41,5.5,29,Pass
79,2.0,33,Fail
57,5.0,72,Pass
40,2.5,26,Fail
66,1.5,93,Pass
84,5.0,52,Pass
54,1.0,49,Fail
57,2.5,58,Pass
90,5.0,61,Pass
69,4.0,54,Pass
90,3.5,59,Pass
64,2.5,49,Fail
97,1.0,48,Pass
77,6.0,27,Pass
43,1.5,72,Fail
93,2.0,68,Pass
67,2.0,72,Fail
44,5.5,91,Pass
45,4.5,58,Fail
80,3.0,87,Pass
38,6.0,56,Pass
54,1.0,58,Fail
44,5.5,69,Pass
64,1.0,40,Fail
62,2.5,40,Pass
69,1.0,61,Fail
53,6.0,30,Fail
37,5.5,42,Fail
75,3.5,81,Pass
59,1.5,57,Fail
77,2.0,27,Fail
42,3.0,29,Fail
36,2.5,89,Fail
51,0.5,92,Fail
65,4.0,70,Pass
61,4.0,38,Pass
88,5.5,51,Pass
60,3.0,46,Fail
69,2.5,80,Pass
74,3.5,63,Pass
36,1.5,80,Fail
68,4.0,50,Pass
57,4.5,86,Pass
62,1.5,55,Fail
42,2.5,54,Pass
86,5.5,59,Pass
96,3.5,66,Pass
36,3.5,88,Fail
74,4.5,57,Pass
85,3.5,90,Pass
54,1.0,53,Fail
86,5.0,48,Pass
76,5.5,46,Pass
95,1.0,26,Fail
99,1.0,84,Pass
38,4.5,31,Fail
64,4.0,48,Pass
71,2.5,43,Fail
45,3.5,77,Pass
57,4.5,90,Pass
99,3.5,82,Pass
36,1.5,47,Fail
64,1.0,57,Fail
90,3.0,42,Pass
56,5.5,90,Pass
66,3.5,33,Fail
99,2.5,92,Pass
66,5.5,82,Pass
44,2.5,75,Fail
38,3.5,79,Pass
96,1.0,49,Pass
52,4.5,46,Pass
68,4.5,52,Pass
41,5.0,38,Pass
63,2.5,77,Fail
95,3.0,58,Pass
68,1.5,87,Pass
98,6.0,86,Pass
52,1.0,36,Fail
68,4.0,40,Fail
91,4.5,54,Pass
64,1.5,33,Fail
53,2.5,73,Pass
91,0.5,77,Pass
60,3.5,75,Pass
69,6.0,58,Pass
98,3.0,84,Pass
47,6.0,67,Pass
55,1.0,95,Fail
37,2.5,82,Pass
60,5.5,76,Pass
48,5.5,34,Fail
79,2.5,83,Pass
47,4.0,46,Fail
79,5.5,54,Pass
52,4.5,57,Fail
58,4.0,48,Pass
58,1.5,33,Fail
82,1.0,39,Fail
65,4.0,81,Pass
58,3.5,71,Pass
90,2.0,91,Pass
72,2.0,82,Pass
49,2.5,53,Fail
94,3.0,80,Pass
57,2.5,65,Pass
38,2.5,45,Fail
67,1.0,93,Pass
43,5.5,90,Pass
51,4.0,33,Fail
84,1.5,84,Pass
43,3.0,30,Fail
87,3.0,90,Pass
96,4.0,69,Pass
74,4.0,37,Fail
81,4.0,82,Pass
81,4.5,61,Pass
100,1.0,29,Fail
57,2.0,81,Pass
46,0.5,80,Pass
69,3.0,59,Pass
70,3.0,76,Pass
47,4.5,28,Pass
75,1.5,47,Fail
36,4.0,72,Fail
95,2.0,41,Pass
52,2.5,57,Fail
38,4.5,90,Pass
42,1.0,83,Fail
51,2.5,64,Fail
53,2.5,65,Fail
37,4.5,87,Pass
53,1.5,85,Fail
48,5.5,31,Fail
60,6.0,58,Pass
60,5.0,38,Pass
57,2.0,31,Fail
56,4.0,45,Pass
41,1.0,68,Fail
37,5.5,81,Pass
48,3.5,89,Pass
84,1.5,55,Pass
99,2.5,55,Pass
95,5.0,36,Pass
68,5.5,39,Pass
70,3.5,32,Fail
55,3.0,93,Pass
85,4.5,34,Pass
85,5.0,78,Pass
90,4.5,47,Pass
93,2.5,63,Pass
63,4.0,86,Pass
85,5.0,91,Pass
87,1.5,42,Fail
55,2.5,89,Pass
95,1.0,43,Pass
41,2.5,81,Pass
100,4.5,26,Pass
85,1.5,62,Pass
41,3.5,76,Fail
78,0.5,84,Pass
37,5.5,84,Pass
85,5.0,46,Pass
87,3.5,85,Pass
74,4.5,48,Pass
91,1.0,41,Fail
41,5.0,25,Fail
53,4.5,42,Pass
62,1.0,33,Fail
38,6.0,72,Pass
64,0.5,35,Fail
52,4.0,66,Pass
61,1.5,34,Fail
63,4.5,74,Pass
92,1.0,45,Fail
53,1.0,47,Fail
93,3.0,70,Pass
63,6.0,91,Pass
56,2.0,94,Pass
68,4.0,50,Pass
62,3.5,91,Pass
52,5.0,68,Pass
68,2.0,88,Pass
45,3.5,27,Fail
58,5.5,27,Pass
72,2.5,30,Fail
62,3.0,81,Pass
89,5.5,35,Pass
52,2.5,37,Fail
98,2.5,66,Pass
86,2.0,92,Pass
98,5.0,65,Pass
89,5.5,76,Pass
44,4.0,38,Fail
69,4.0,89,Pass
46,2.5,29,Fail
88,0.5,45,Pass
73,1.5,57,Pass
52,1.5,41,Fail
95,1.0,71,Pass
42,4.0,73,Pass
72,1.0,40,Fail
82,1.0,26,Fail
39,2.5,30,Fail
74,2.0,25,Fail
88,1.5,88,Pass
39,1.5,69,Fail
68,2.0,35,Fail
52,3.5,31,Fail
78,4.5,82,Pass
43,5.0,82,Pass
96,4.5,90,Pass
93,4.0,36,Pass
47,5.5,62,Pass
56,3.5,34,Fail
73,4.0,81,Pass
82,3.0,54,Pass
64,2.5,74,Pass
45,2.5,27,Fail
42,1.5,79,Fail
100,5.0,41,Pass
65,1.0,84,Pass
92,4.0,38,Pass
66,5.5,80,Pass
95,3.0,34,Pass
41,1.0,71,Fail
42,3.0,80,Pass
95,2.5,52,Pass
97,6.0,42,Pass
55,4.5,49,Fail
58,4.5,46,Fail
64,3.5,69,Pass
62,4.5,28,Fail
47,4.5,28,Fail
93,1.0,45,Pass
51,1.5,44,Fail
81,0.5,37,Pass
39,3.5,75,Pass
38,5.5,27,Fail
77,4.0,90,Pass
57,3.5,78,Pass
78,5.5,53,Pass
41,1.5,85,Pass
97,1.0,68,Pass
84,5.5,65,Pass
92,5.5,47,Pass
44,4.5,71,Pass
56,2.0,35,Fail
59,6.0,62,Pass
70,4.5,33,Fail
54,4.0,56,Pass
39,1.5,68,Fail
59,3.5,36,Fail
52,5.0,41,Pass
60,5.0,82,Pass
48,3.5,43,Fail
52,3.5,32,Fail
76,4.5,48,Pass
60,3.5,90,Pass
57,3.0,74,Pass
70,1.0,65,Fail
85,1.0,84,Pass
60,4.5,71,Pass
73,0.5,82,Pass
98,1.0,71,Pass
69,5.5,85,Pass
94,4.5,69,Pass
87,0.5,44,Fail
39,2.0,28,Fail
63,4.5,32,Pass
80,3.0,61,Pass
99,3.0,93,Pass
65,3.0,78,Pass
41,1.5,79,Fail
72,4.5,71,Pass
43,1.0,88,Fail
84,3.5,76,Pass
68,1.5,43,Fail
82,1.0,60,Fail
92,1.5,53,Pass
76,5.5,37,Pass
75,1.5,41,Fail
84,2.0,45,Fail
90,1.5,37,Pass
91,4.5,40,Pass
37,3.0,89,Fail
71,5.5,49,Pass
49,4.0,83,Pass
91,3.5,30,Pass
77,4.0,94,Pass
62,0.5,79,Pass
47,5.5,88,Pass
57,6.0,62,Pass
81,2.0,69,Pass
48,4.0,50,Fail
41,1.5,55,Fail
93,3.5,78,Pass
85,4.5,28,Pass
48,5.5,28,Fail
54,2.5,86,Pass
98,4.5,33,Pass
81,4.5,75,Pass
75,1.5,39,Fail
55,4.0,51,Pass
54,4.0,46,Fail
38,4.5,59,Fail
82,6.0,83,Pass
38,0.5,86,Fail
35,1.5,41,Fail
82,1.5,49,Pass
97,1.5,84,Pass
84,3.0,31,Pass
66,5.5,33,Pass
67,3.0,59,Fail
63,4.0,80,Pass
56,2.5,49,Pass
69,2.5,30,Fail
63,5.0,93,Pass
74,4.0,91,Pass
93,2.5,71,Pass
100,5.5,73,Pass
40,3.0,90,Pass
60,1.5,70,Fail
47,3.0,80,Pass
58,4.0,57,Pass
54,2.5,41,Fail
46,5.0,83,Pass
85,3.5,73,Pass
67,3.0,45,Pass
95,5.0,69,Pass
37,3.0,82,Fail
39,3.0,44,Fail
61,1.0,79,Pass
40,2.5,30,Fail
52,2.5,69,Fail
99,1.5,95,Pass
